cedula,nombre,salario,meses_trabajados,sexo,estado_civil,monto_solicitado,direccion
5-7891-9975,Douglas Bonilla Céspedes,2156000,123,M,Casado,120000,"50 metros norte de el EBAIS, casa terracota, San Miguel, Desamparados, San José"
6-6148-4444,Karla Salas Montero,1810000,193,M,Viudo,4307000,"50 metros este de la iglesia católica, casa beige, San Miguel, Desamparados, San José"
2-6062-1405,Verónica Arce Arce,2238000,217,F,Viuda,842000,"400 metros oeste de la iglesia católica, casa amarilla, San Vicente, Santo Domingo, Heredia"
5-5237-7880,Bryan Umaña Godínez,2471000,13,F,Viuda,4814000,"150 metros sur de el parque central, casa gris, Santa Rosa, Santo Domingo, Heredia"
4-8701-3333,Manuel Quesada Castro,2221000,346,M,Unión libre,3945000,"200 metros oeste de el EBAIS, casa beige, Santa Rosa, Santo Domingo, Heredia"
4-4318-5823,Daniela Rodríguez Vargas,963000,336,F,Viuda,4992000,"500 metros oeste de la plaza de deportes, casa celeste, Palmar, Osa, Puntarenas"
5-9145-8114,Katherine Vargas Brenes,1647000,235,F,Viuda,905000,"500 metros este de la gasolinera, casa celeste, Aguas Zarcas, San Carlos, Alajuela"
6-5365-9166,Adriana Solís Sánchez,2034000,75,F,Soltera,3781000,"25 metros norte de el parque central, casa amarilla, Concepción, La Unión, Cartago"
7-4257-5060,Laura Retana Vargas,1449000,343,M,Unión libre,5305000,"300 metros sur de el parque central, casa verde, Nacascolo, Liberia, Guanacaste"
5-4652-8749,Jessica Herrera Obando,2417000,149,F,Casada,791000,"400 metros sur de el supermercado, casa terracota, Nosara, Nicoya, Guanacaste"
4-7396-3433,Silvia Sánchez Zúñiga,407000,55,F,Unión libre,3289000,"50 metros norte de la plaza de deportes, casa gris, Palmar, Osa, Puntarenas"
4-6370-5975,Alejandro Villalobos Castro,2388000,239,M,Unión libre,4782000,"100 metros sur de la sucursal del banco, casa celeste, Oriental, Cartago, Cartago"
5-4822-2138,Katherine Blanco Vargas,1150000,332,F,Viuda,1520000,"25 metros norte de la gasolinera, casa terracota, Concepción, La Unión, Cartago"
6-1335-3115,Andrea Aguilar Núñez,2467000,71,M,Viudo,1413000,"100 metros oeste de el EBAIS, casa amarilla, Palmar, Osa, Puntarenas"
3-4067-6637,Gabriela Salas Picado,2388000,213,M,Viudo,2456000,"500 metros sur de la plaza de deportes, casa beige, San Vicente, Santo Domingo, Heredia"
7-9596-5486,Diego Núñez Quesada,370000,48,M,Unión libre,3820000,"300 metros oeste de la sucursal del banco, casa terracota, Mercedes, Heredia, Heredia"
3-3568-6762,Katherine Barquero Cascante,1236000,57,M,Soltero,5185000,"200 metros sur de el EBAIS, casa beige, Río Blanco, Limón, Limón"
7-5320-2579,Melissa Ramírez Solís,597000,183,M,Soltero,1619000,"50 metros este de el EBAIS, casa beige, Aguas Zarcas, San Carlos, Alajuela"
2-5273-5196,Luis Rodríguez Vega,1402000,213,F,Divorciada,226000,"25 metros norte de la escuela, casa blanca, Limón, Limón, Limón"
5-6739-6160,Priscilla Obando Retana,505000,207,M,Unión libre,2689000,"150 metros oeste de el cruce principal, casa gris, Quesada, San Carlos, Alajuela"
6-5121-7374,Ricardo Montero Mora,2138000,13,F,Unión libre,2405000,"300 metros este de la iglesia católica, casa verde, Guápiles, Pococí, Limón"
1-9882-6611,Fernando Madrigal Mora,811000,84,F,Unión libre,5170000,"50 metros norte de el parque central, casa celeste, Sierpe, Osa, Puntarenas"
4-3069-6832,Rodrigo Zúñiga Zúñiga,1330000,216,F,Soltera,5527000,"150 metros sur de el supermercado, casa beige, San Vicente, Santo Domingo, Heredia"
7-3419-4739,José Jiménez Araya,2311000,214,F,Divorciada,2261000,"300 metros sur de la iglesia católica, casa terracota, Zapote, San José, San José"
7-5345-6582,Pablo Aguilar Villalobos,580000,337,M,Unión libre,193000,"150 metros oeste de el parque central, casa celeste, San Antonio, Escazú, San José"
6-6897-4809,Katherine Araya Segura,1173000,192,M,Viudo,3041000,"500 metros oeste de la sucursal del banco, casa terracota, Nosara, Nicoya, Guanacaste"
2-7726-3519,Vanessa Rodríguez Montero,2493000,360,F,Casada,3445000,"25 metros sur de la iglesia católica, casa verde, San Francisco, Heredia, Heredia"
6-2650-1300,Randall Núñez Céspedes,1606000,294,F,Casada,465000,"400 metros oeste de la sucursal del banco, casa beige, El Carmen, Cartago, Cartago"
