cedula,nombre,id_articulo,peso_kg,direccion_entrega,provincia,canton,distrito,telefono
5-8603-3051,Silvia Umaña Retana,ART-12561,11,"300 metros sur de la plaza de deportes, casa amarilla",Cartago,La Unión,San Diego,7561-1257
2-6406-5962,Douglas Castro Segura,ART-37620,87,"500 metros este de la iglesia católica, casa beige",Heredia,Santo Domingo,San Vicente,8991-4987
1-3964-4994,Fabiola Retana Fonseca,ART-34019,8,"500 metros norte de la iglesia católica, casa amarilla",Heredia,Heredia,Heredia,7358-5271
4-8096-1475,Fernando Obando Brenes,ART-13666,53,"25 metros norte de el EBAIS, casa gris",Heredia,Heredia,Heredia,8165-4730
6-9565-3262,Vanessa Villalobos Aguilar,ART-21814,102,"200 metros oeste de la sucursal del banco, casa celeste",San José,Escazú,San Rafael,8972-5833
7-7239-8431,Alejandro Zúñiga Barquero,ART-58613,83,"150 metros este de el parque central, casa gris",San José,Escazú,San Rafael,8313-6643
7-7604-2716,Douglas Jiménez Godínez,ART-86510,45,"500 metros norte de la iglesia católica, casa verde",Puntarenas,Puntarenas,Puntarenas,8473-7697
2-3439-6897,Andrés Picado Vargas,ART-43879,116,"25 metros sur de el cruce principal, casa gris",San José,San José,Hospital,8776-5266
3-5969-2823,Carolina Céspedes Montero,ART-10726,48,"200 metros sur de el parque central, casa celeste",Alajuela,San Carlos,Aguas Zarcas,6127-4192
5-4396-3889,Melissa Blanco Retana,ART-68727,52,"500 metros oeste de la escuela, casa amarilla",Guanacaste,Nicoya,Nicoya,8815-2831
2-6869-3535,Laura Bonilla Vargas,ART-67195,50,"400 metros este de el EBAIS, casa gris",San José,Desamparados,Desamparados,8357-2719
5-7427-2248,Mauricio Madrigal Retana,ART-38205,67,"300 metros oeste de la gasolinera, casa beige",Cartago,Cartago,El Carmen,6830-3059
6-8877-5577,José Umaña Solís,ART-76608,10,"50 metros norte de el supermercado, casa blanca",Limón,Limón,Valle La Estrella,8903-4869
