cedula,nombre,id_articulo,costo_articulo,sexo,estado_civil,direccion,telefono
7-2924-4503,Gabriela Araya Obando,ART-59762,2781000,F,Viuda,"300 metros oeste de la gasolinera, casa beige, Tres Ríos, La Unión, Cartago",8468-2622
3-4984-3090,Laura Vargas Bonilla,ART-71338,725000,F,Viuda,"300 metros oeste de la plaza de deportes, casa terracota, San Francisco, Heredia, Heredia",7798-1753
2-1609-4519,Ricardo Arce Araya,ART-85380,1097000,M,Unión libre,"300 metros sur de la gasolinera, casa verde, Liberia, Liberia, Guanacaste",6602-8670
7-1280-6899,Laura Campos Núñez,ART-77211,621000,F,Divorciada,"300 metros oeste de el EBAIS, casa gris, Heredia, Heredia, Heredia",8177-1576
4-6488-2641,Jorge Alfaro Madrigal,ART-94922,311000,F,Soltera,"300 metros oeste de el parque central, casa celeste, Carrizal, Alajuela, Alajuela",7982-4893
7-3464-7750,Héctor Segura Picado,ART-26764,648000,F,Viuda,"150 metros norte de la plaza de deportes, casa blanca, Florencia, San Carlos, Alajuela",7910-2853
1-6530-3368,Rodrigo Segura Cordero,ART-67654,423000,F,Divorciada,"150 metros sur de el cruce principal, casa beige, San Diego, La Unión, Cartago",8714-7426
5-3209-4132,Manuel Calderón Aguilar,ART-53338,2429000,F,Divorciada,"150 metros este de el supermercado, casa terracota, Oriental, Cartago, Cartago",7444-6945
5-7812-1605,Jorge Núñez Bonilla,ART-29875,3190000,M,Divorciado,"400 metros norte de la escuela, casa blanca, Tres Ríos, La Unión, Cartago",7649-6132
3-3755-5220,Wendy Castro Cascante,ART-77306,1297000,M,Soltero,"500 metros este de la plaza de deportes, casa gris, Mansión, Nicoya, Guanacaste",6923-3243
5-6451-9406,Wendy Sánchez Chaves,ART-28423,1745000,F,Casada,"150 metros norte de el parque central, casa beige, Palmar, Osa, Puntarenas",7202-2140
4-8958-6722,Marcela Cordero Vega,ART-31144,568000,M,Casado,"200 metros este de el cruce principal, casa blanca, San Francisco, Heredia, Heredia",6387-4581
4-6551-5195,Andrea Vega Alfaro,ART-14165,1674000,F,Unión libre,"300 metros este de la sucursal del banco, casa beige, El Roble, Puntarenas, Puntarenas",7977-9228
2-7360-2636,Rodrigo Chaves Segura,ART-78623,2544000,M,Casado,"400 metros oeste de el EBAIS, casa gris, San Diego, La Unión, Cartago",8834-6158
2-6912-4946,Douglas Campos Barquero,ART-42525,1789000,F,Soltera,"400 metros sur de el cruce principal, casa gris, Puerto Cortés, Osa, Puntarenas",8566-9914
3-2932-8613,Natalia Montero Barquero,ART-66400,1474000,M,Viudo,"300 metros sur de el cruce principal, casa terracota, Limón, Limón, Limón",8640-2993
1-8015-5390,Luis Retana Umaña,ART-21403,3379000,M,Casado,"50 metros norte de el parque central, casa verde, Nosara, Nicoya, Guanacaste",8251-5443
